publication_year,original_title,authors,one_star_reviews,two_star_reviews,three_star_reviews,four_star_reviews,five_star_reviews
2006.0,君に届け 1,"Karuho Shiina, Tomo Kimura",842,1559,5681,9404,20033
1999.0,False Memory,Dean Koontz,740,2241,9882,13648,11508
1990.0,Moving Pictures,Terry Pratchett,339,2464,13318,18963,14963
2011.0,Captive in the Dark,C.J. Roberts,2712,3461,9720,18383,25167
1902.0,,James Allen,539,1206,4620,10010,18721
2008.0,Bonk: The Curious Coupling of Science and Sex,Mary Roach,806,2534,10882,16474,11112
2007.0,Midnight Alley,Rachel Caine,721,2084,10100,16566,22382
2013.0,Das Lavendelzimmer ,"Nina George, Simon Pare",2033,5745,13308,13863,9131
2012.0,Sweet Tooth,Ian McEwan,1649,5207,14109,13883,5295
2013.0,"Twisted Perfection (Perfection, #1)",Abbi Glines,606,1761,8044,20604,28618
1996.0,Executive Orders,Tom Clancy,394,1460,8003,14865,13837
2011.0,One Thousand Gifts,Ann Voskamp,1492,2377,5805,9323,16219
1959.0,Psycho,Robert Bloch,480,1434,7834,14255,15805
1998.0,Ship of Magic,Robin Hobb,501,1564,7308,16594,17224
1967.0,Where Eagles Dare ,"Alistair MacLean, Clint Willis",259,940,7069,14108,13911
1990.0,Circle of Friends,Maeve Binchy,381,1670,10917,19654,15253
2014.0,milk and honey,Rupi Kaur,1693,3821,10197,21243,45250
1998.0,Rainbow Six,Tom Clancy,437,1668,7494,14076,14632
2006.0,Fragile Things: Short Fictions and Wonders,Neil Gaiman,299,1602,9585,20227,14387
2010.0,Sister,Rosamund Lupton,884,2862,10945,16975,9910
2007.0,三体,"Liu Cixin, Ken Liu",642,2292,8246,17466,14942
2001.0,Thief of Time,Terry Pratchett,114,857,7462,18057,21272
2003.0,Superman: Red Son,"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",498,1350,5961,12842,16356
2002.0,Three Junes,Julia Glass,1049,3687,12450,13101,6758
1791.0,,"Benjamin Franklin, Lewis Leary",1482,2925,10378,15150,13178
2007.0,The Reason for God: Belief in an Age of Skepticism,Timothy J. Keller,915,1296,4551,10606,16570
2012.0,King of Thorns,Mark  Lawrence,386,1125,5672,15235,16985
2012.0,The Sins of the Father,Jeffrey Archer,325,1331,7571,16131,11733
2000.0,Shadowland,Meg Cabot,844,2450,11346,18792,21094
2009.0,Killer ,Sara Shepard,580,2026,8910,13031,17765
2004.0,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,"W. Chan Kim, Renée Mauborgne",1260,2079,7414,11117,10644
2010.0,Fang,James Patterson,1165,3214,9252,14779,22798
2011.0,The Peach Keeper ,Sarah Addison Allen,558,2970,13446,19213,13291
1984.0,The Napping House,"Audrey Wood, Don    Wood",618,1375,5771,10297,20656
2015.0,,Matthew FitzSimmons,397,994,5066,13486,13279
2007.0,You Suck ,Christopher Moore,642,2350,11214,16749,10352
2014.0,Beautiful Oblivion,Jamie McGuire,944,2685,9691,19581,25407
1992.0,A Fire Upon The Deep,Vernor Vinge,654,1672,6494,14506,17182
1999.0,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from The Power of Now",Eckhart Tolle,504,1098,4426,8710,15570
1990.0,The Face on the Milk Carton,Caroline B. Cooney,916,3922,14176,15194,11715
1960.0,Put Me in the Zoo,Robert Lopshire,717,1979,7932,10010,19019
2010.0,"Firelight (Firelight, #1)",Sophie Jordan,1628,4187,12409,17053,19273
1972.0,Le città invisibili,"Italo Calvino, William Weaver",462,1614,5967,13026,18052
2011.0,Flat-Out Love ,Jessica Park,1237,2838,9609,18808,19455
2013.0,The Narrow Road to the Deep North,Richard Flanagan,959,2131,6017,12567,13261
1983.0,The Claiming of Sleeping Beauty,"A.N. Roquelaure, Anne Rice",5675,6382,11096,9727,9948
2002.0, Call the midwife : a true story of the East End in the 1950s,Jennifer Worth,291,809,5844,17076,15121
1966.0,Hell's Angels,Hunter S. Thompson,176,1203,7385,14227,10312
2010.0,Then Came You,Jennifer Weiner,627,2658,12689,15264,7655
1991.0,The Awakening,L.J. Smith,4248,7919,15271,12419,12825
1994.0,It Had to Be You,Susan Elizabeth Phillips,1316,2177,9293,17170,19530
2011.0,Boomerang: Travels in the New Third World,Michael   Lewis,884,1655,7380,13241,9286
2010.0,Fly Away Home,Jennifer Weiner,611,2880,13387,14748,7775
1830.0,Le Rouge et le Noir,"Stendhal, Roger Gard",1115,3015,9927,14536,13705
2004.0,The Virgin's Lover,Philippa Gregory,719,3480,13699,16114,9426
2007.0,Incarceron,Catherine Fisher,1964,5218,14616,17892,12320
2011.0,Awake at Dawn,C.C. Hunter,421,1364,6712,14662,24800
2004.0,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,Bev Vincent,757,1055,4518,7686,18210
2011.0,Starcrossed,Josephine Angelini,1687,2999,9061,17058,24397
2010.0,Night Star,Alyson Noel,1791,4301,10858,12187,16730
1988.0,Dead Poets Society ,N.H. Kleinbaum,395,1238,5735,12617,17236
2015.0,,Emily Bleeker,1030,3379,9583,11938,7888
1999.0,The Fifth Elephant,Terry Pratchett,101,726,7320,18629,20330
2006.0,The Sorcerer in the North,John Flanagan,470,996,6829,15486,21637
1946.0,Autobiography of a Yogi,Paramahansa Yogananda,752,1391,4587,8413,16473
2011.0,"Hexed (Iron Druid Chronicles, #2)",Kevin Hearne,210,834,6658,17967,18836
1981.0,Scary Stories to Tell in the Dark,"Alvin Schwartz, Stephen Gammell",763,2190,8472,11376,17276
2016.0,Fool Me Once,Harlan Coben,913,2458,10459,18044,13594
1946.0,Hiroshima,John Hersey,738,2184,9825,16758,13831
2009.0,Hate List,Jennifer Brown,872,2179,8483,15813,16842
2013.0,,Kasie West,834,2506,10652,16916,15696
1975.0,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,1625,2189,7599,11380,11783
2013.0,Abaddon's Gate,James S.A. Corey,142,712,5701,18187,14753
1924.0,Veinte poemas de amor y una canción desesperada,"Pablo Neruda, W.S. Merwin, Cristina García",520,1003,4472,11501,20414
1988.0,The Cardinal of the Kremlin,Tom Clancy,188,1344,9279,15970,12918
1998.0,"No, David!",David Shannon,1110,2172,6499,9026,18379
1516.0,"Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia","Thomas More, Paul Turner",1177,5222,15801,14313,7721
2007.0,The Name of This Book Is Secret,"Pseudonymous Bosch, Gilbert Ford",1043,2144,8129,13529,17345
2014.0,Dorothy Must Die,Danielle  Paige,1455,3568,11035,18176,14785
2006.0,The Husband,Dean Koontz,561,2435,11052,14284,9922
2010.0,The Particular Sadness of Lemon Cake,Aimee Bender,3263,9025,17055,13468,5577
2003.0,The Big Bad Wolf  ,James Patterson,320,1590,9647,16019,12659
2000.0,Balzac et la Petite Tailleuse chinoise,"Dai Sijie, Ina Rilke",686,3659,14466,17027,7602
2014.0,Bad Feminist ,Roxane Gay,1046,2612,9283,17369,13580
1980.0,Petals on the Wind,V.C. Andrews,955,3458,11845,14517,13539
1975.0,Danny: The Champion of the World,"Roald Dahl, Quentin Blake",496,1933,9393,15259,17968
2011.0,,Amy Chua,990,3331,12436,15039,6940
2015.0,Nimona,Noelle Stevenson,1830,1857,6056,16529,25708
2005.0,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,1008,1636,6966,10955,12306
1995.0,From Potter's Field,Patricia Cornwell,211,1356,10272,17581,14535
2005.0,"Mary, Mary",James Patterson,301,1679,10270,15431,11747
1985.0,Oranges Are Not the Only Fruit,Jeanette Winterson,1086,3147,10727,15204,10150
2013.0,Grounded (Up In The Air #3),R.K. Lilley,666,1739,6995,16258,27727
2007.0,I Too Had A Love Story,Ravinder Singh,2021,3266,6759,8385,8730
1947.0,Mrs. Piggle-Wiggle,"Betty MacDonald, Alexandra Boiger",847,1639,8082,13512,21048
1997.0,Trunk Music,Michael Connelly,105,626,6805,18196,14270
2014.0,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan   Harris,1106,2034,7948,15912,12748
2006.0,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,"Ina Garten, Quentin Bacon",944,1094,4974,10514,15218
1998.0,Blood Work,Michael Connelly,216,892,6907,16077,13402
1972.0,The Gods Themselves,Isaac Asimov,299,1350,7879,15381,14628
2010.0,,Peter Lerangis,1108,2115,8798,10964,15155
1999.0,,Sena Jeter Naslund,1009,2003,6496,12251,14425
2004.0,ツバサ-RESERVoir CHRoNiCLE- 1,"CLAMP, Anthony Gerard",941,1862,6018,9162,16860
2000.0,"Cirque Du Freak (Cirque du Freak, #1) ",Darren Shan,658,2227,8592,13698,17881
2000.0,"The League of Extraordinary Gentlemen, Vol. I","Alan Moore, Kevin O'Neill",687,2255,9526,16088,13262
2002.0,Feed,M.T. Anderson,2832,5218,12155,14364,10298
2009.0,,Nalini Singh,1565,2646,9498,18531,26268
-431.0,Mήδεια,"Euripides, Rex Warner",709,3123,11554,14888,12683
2009.0,The Demon King,Cinda Williams Chima,950,1559,6794,17605,22616
1955.0,Hinds' Feet on High Places,Hannah Hurnard,590,1234,4784,9071,19633
1995.0,Black Hole,Charles Burns,1162,2634,7995,11859,10974
2014.0,"Saga, Volume Three","Brian K. Vaughan, Fiona Staples",145,358,2805,14440,31268
2014.0,Personal,Lee Child,496,2013,9620,15703,11221
2013.0,Z: A Novel of Zelda Fitzgerald,Therese Anne Fowler,685,2028,9256,15941,8877
2005.0,A Man Without a Country,Kurt Vonnegut Jr.,192,1229,6362,12567,11744
2009.0,When I Found You,Catherine Ryan Hyde,355,1490,7550,13561,9048
2016.0,Lilac Girls,Martha Hall Kelly,562,1142,5877,21014,26919
2008.0,7th Heaven,"James Patterson, Maxine Paetro",176,1181,9121,17415,14600
2015.0,Make Me,Lee Child,578,1752,8085,15404,11604
2013.0,A Constellation of Vital Phenomena,Anthony Marra,714,1622,5348,12392,15224
2012.0,While It Lasts,Abbi Glines,419,1371,7547,18393,24269
2012.0,The End of Your Life Bookclub,Will Schwalbe,1016,2905,9783,14960,10972
2007.0,Two-Way Street,Lauren Barnholdt,1186,3709,11189,13153,13537
2012.0,All in,Raine Miller,790,2267,8838,17309,21061
2006.0,The Siege of Macindaw,John Flanagan,223,721,5474,13990,21449
1961.0,A Grief Observed,C.S. Lewis,403,976,5410,12917,18448
1998.0,"Transmetropolitan, Vol. 1: Back on the Street","Warren Ellis, Darick Robertston, Garth Ennis",774,1426,4709,10068,17714
1994.0,"Emperor Mage (Immortals, #3)",Tamora Pierce,323,895,6746,15496,23696
2010.0,Decision Points,George W. Bush,1293,1906,7652,12627,8188
2009.0,Witch & Wizard,"James Patterson, Gabrielle Charbonnet",2892,5695,12892,13690,12376
1972.0,Julie of the Wolves,"Jean Craighead George, John Schoenherr",1153,3483,13085,16549,13367
1975.0,Forever . . .,Judy Blume,1806,4941,13816,14493,11632
2015.0,The Wright Brothers,David McCullough,984,1232,5673,15914,17666
1979.0,The Matarese Circle,Robert Ludlum,246,1106,7377,13100,11315
2008.0,American Lion: Andrew Jackson in the White House,Jon Meacham,1309,2419,8198,12414,9099
2012.0,The Forgotten,David Baldacci,270,1065,6957,16796,12471
2015.0,Shadows of Self,Brandon Sanderson,85,469,4687,17295,17943
2013.0,Mad About the Boy,Helen Fielding,2230,5980,13827,11828,5722
1960.0,The Four Loves,C.S. Lewis,444,1001,5530,11563,13972
2014.0,Archer's Voice,Mia Sheridan,553,1382,5524,15336,37225
2011.0,The Lost Wife,Alyson Richman,295,767,5091,15125,14653
2004.0,Storia della bellezza,"Umberto Eco, Girolamo De Michele, Alastair McEwen",2959,2615,6651,9310,12910
1934.0,"I, Claudius",Robert Graves,425,1092,5360,14800,20226
2013.0,The Testing,Joelle Charbonneau,680,1918,7943,16551,15748
2013.0,Takedown Twenty,Janet Evanovich,674,3508,14114,15618,11851
2011.0,The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,3493,3945,8704,14811,24402
2006.0,Terrier,Tamora Pierce,1282,1973,7618,15689,23283
2011.0,First Grave on the Right,Darynda Jones,1403,2758,9980,19654,23620
2013.0,A House in the Sky,"Amanda Lindhout, Sara Corbett",481,955,4513,12644,14547
2011.0,Anya's Ghost,Vera Brosgol,1218,2300,9907,15715,13069
1987.0,The Rules of Attraction,Bret Easton Ellis,699,2615,9441,12328,7312
2005.0,"The Good, the Bad, and the Undead",Kim Harrison,253,1014,7909,19521,24272
1988.0,The Crystal Shard,R.A. Salvatore,238,1304,6804,12712,14785
1966.0,Wide Sargasso Sea,Jean Rhys,1715,5110,13735,15418,9360
1965.0,The Magus,John Fowles,1050,2211,6360,12018,15598
1988.0,King of the Murgos,David Eddings,274,1508,8788,15679,16873
2000.0,"It's OK, I'm Wearing Really Big Knickers! (Confessions of Georgia Nicolson, #2)",Louise Rennison,685,2393,10345,13728,15541
2014.0,You,Caroline Kepnes,1561,3095,9358,16925,12929
2014.0,Dreams of Gods & Monsters,Laini Taylor,528,1924,8159,19339,26752
2007.0,Playing For Pizza,John Grisham,1436,5072,13273,10948,6121
2011.0,Tiger's Curse,Colleen Houck,2482,3220,6975,11651,24406
1985.0,Chapterhouse: Dune,Frank Herbert,676,2612,9170,12496,12201
2014.0,Brown Girl Dreaming,Jacqueline Woodson,1732,1625,4992,11824,17460
2010.0,Feed,Mira Grant,1858,3290,8313,13855,14583
1998.0,Icy Sparks,Gwyn Hyman Rubio,737,2819,10815,12979,7601
1917.0,Rainbow Valley,L.M. Montgomery,872,2177,11467,20526,25784
2006.0,The Templar Legacy,Steve Berry,843,2479,10458,14921,10420
1993.0,J is for Judgment (Kinsey Millhone #10),Sue Grafton,250,1003,10593,16261,13622
2009.0,The Physick Book of Deliverance Dane,Katherine Howe,1041,3900,13233,16803,10375
2000.0,Deadhouse Gates,Steven Erikson,488,1239,5126,13350,18828
2013.0,Lick,Kylie Scott,815,2203,10197,24238,26566
1976.0,"Not a Penny More, Not a Penny Less",Jeffrey Archer,238,1124,7056,12746,10043
2009.0,Best Served Cold,Joe Abercrombie,440,1356,6346,15971,17088
2014.0,Elizabeth Is Missing,Emma Healey,939,3055,10623,15355,8253
2005.0,Consent to Kill,Vince Flynn,197,424,3629,12053,17348
2010.0,The Warmth of Other Suns: The Epic Story of America's Great Migration ,Isabel Wilkerson,502,1069,3883,10772,18384
2014.0,The First Fifteen Lives of Harry August,Claire North,826,1866,6187,14323,13771
2011.0,El prisionero del cielo,Carlos Ruiz Zafón,248,1802,9358,16853,12134
1962.0,The Guns of August,"Barbara W. Tuchman, Robert K. Massie",845,1281,5342,12858,17369
2001.0,Separation of Power,Vince Flynn,127,462,4008,12628,15961
1993.0,"Tomorrow, When the War Began",John Marsden,718,1937,7428,15236,15564
2009.0,"Monuments Men: Allied Heroes, Nazi Thieves and the Greatest Treasure Hunt in History ","Robert M. Edsel, Bret Witter",1426,2577,8985,12646,9581
2014.0,Love Letters to the Dead,Ava Dellaira,1588,3744,10770,15186,14626
2007.0,War Brides,Helen Bryan,778,2585,9308,12850,8461
2016.0,Homegoing,Yaa Gyasi,214,743,4520,17394,27113
2010.0,Packing for Mars: The Curious Science of Life in the Void ,Mary Roach,861,1817,8333,15749,11832
2008.0,Divine Justice,David Baldacci,236,768,6103,16164,14801
2010.0,Kick-Ass,"Mark Millar, John Romita Jr., Rob Liefeld",732,1596,6073,11366,12812
2006.0,Left to Tell: Discovering God Amidst the Rwandan Holocaust,"Immaculée Ilibagiza, Steve Erwin",303,540,3066,9238,18805
2011.0,Plague,Michael  Grant,642,1552,6573,14031,19198
1854.0,Hard Times: For These Times,Charles Dickens,1604,4753,14259,13967,7587
2011.0,La Vérité sur l'affaire Harry Quebert,Joël Dicker,1626,2707,7257,14067,14957
2015.0,A God in Ruins,Kate Atkinson,908,1977,6958,13336,11000
2010.0,Caught,Harlan Coben,285,1353,8842,17024,11550
2006.0,Magic Study,Maria V. Snyder,461,2157,11204,22337,20344
2001.0,ちょびっツ #1,"CLAMP, Shirley Kubo",1089,2071,6685,8499,15978
1999.0,バトル・ロワイアル,"Koushun Takami, Yuji Oniki",441,1298,5660,14240,19554
2010.0,The Girl Who Chased the Moon,Sarah Addison Allen,320,1925,10749,19058,14242
1950.0,A Town Like Alice,Nevil Shute,354,1195,7236,15396,15524
2014.0,,Sophia Amoruso,2080,4220,11094,13126,13221
2006.0,The Secret Life Of CeeCee Wilkes,Diane Chamberlain,467,1251,6556,15560,13747
1975.0,Crocodile on the Sandbank,Elizabeth Peters,882,2150,9526,16802,17567
2009.0,Bed of Roses,Nora Roberts,317,1708,9506,17704,19253
1994.0,Debt of Honor,Tom Clancy,283,1264,7984,14650,12436
1956.0,Till We Have Faces,C.S. Lewis,442,1642,6364,12481,18265
2001.0,Point Blanc,Anthony Horowitz,254,1568,8523,15503,16634
1986.0,Strangers,Dean Koontz,445,1477,8708,13232,12396
2000.0,The Kill Artist,Daniel Silva,845,1439,7180,14473,12428
2004.0,Knuffle Bunny:  A Cautionary Tale,Mo Willems,771,1492,5512,10413,21234
1963.0,The Gashlycrumb Tinies,Edward Gorey,1192,1741,5141,9414,20942
2012.0,The Long Earth,"Terry Pratchett, Stephen Baxter",809,2979,10583,15127,8939
2002.0,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,"Steven Pressfield, Robert McKee",992,2088,6294,11688,15976
2004.0,,Abbi Glines,1812,3581,10445,16505,20278
1981.0,What We Talk About When We Talk About Love: Stories,Raymond Carver,330,1099,4670,12177,15241
1996.0,That Summer,Sarah Dessen,1839,6448,15690,12010,10304
2011.0,Theft of Swords,Michael J. Sullivan,405,1064,4971,14512,16110
2013.0,Necessary Lies,Diane Chamberlain,398,816,4805,15590,15580
1977.0,Lucifer's Hammer,"Larry Niven, Jerry Pournelle",446,1640,7814,13231,11866
1996.0,Montana Sky,Nora Roberts,306,1461,8475,13421,14947
1915.0,Of Human Bondage,"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",587,1726,6508,13571,16123
2015.0,I Was Here,Gayle Forman,854,2828,12095,16301,10892
1961.0,,"A.A. Milne, Ernest H. Shepard",300,648,3918,8660,24994
2004.0,,Lisa Gardner,466,1557,9199,16391,12457
1938.0,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,569,1637,7816,12366,21347
2013.0,,Veronica Roth,343,1024,4407,9425,18175
2007.0,Making Money,Terry Pratchett,118,846,7222,17340,19565
2010.0,Happy Ever After,Nora Roberts,306,1460,8200,15969,19894
1993.0,Harvesting the Heart,Jodi Picoult,977,3826,12403,13074,7503
2013.0,Never Fade,Alexandra Bracken,399,1180,5785,16493,25608
2008.0,Dewey: The Small-Town Library Cat Who Touched the World,"Vicki Myron, Bret Witter",987,3336,10995,13816,14161
2013.0,The School for Good and Evil,Soman Chainani,1617,2495,7040,11963,16802
2007.0,For a Few Demons More ,Kim Harrison,215,777,6181,16815,24473
2014.0,The Secret Place,Tana French,729,2363,9360,16607,9608
2009.0,Mistborn Trilogy Boxed Set,Brandon Sanderson,130,425,2185,8517,21119
1998.0,,Jeffery Deaver,227,731,6301,14731,14284
2010.0,The Emperor's Code,Gordon Korman,845,1691,8075,10580,15355
1969.0,The Complete Adventures of Curious George,"Margret Rey, H.A. Rey",605,1457,6747,10540,20453
2011.0,The Drop,Michael Connelly,145,697,6513,17892,13776
1992.0,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],Naoko Takeuchi,996,1385,4754,7181,20876
2014.0,,"Steven D. Levitt, Stephen J. Dubner",526,1711,9028,13187,8272
2012.0,Drama,"Raina Telgemeier, Gurihiru",1152,2028,7558,12801,21303
2005.0,Assassination Vacation,Sarah Vowell,523,1545,6889,14274,10894
1970.0,Nine Princes in Amber,Roger Zelazny,736,1990,7001,12982,17381
2014.0,The Museum of Extraordinary Things,Alice Hoffman,744,2646,9804,14517,7646
2008.0,"Ender in Exile (The Ender Quintet, #2)",Orson Scott Card,437,1830,10017,15486,10649
2004.0,Undead and Unwed,MaryJanice Davidson,1524,3539,12154,15722,14881
1996.0,O Monte Cinco,Paulo Coelho,1220,3366,9197,9601,7593
1988.0,The Power of Myth,"Joseph Campbell, Bill Moyers",391,939,4456,10578,17550
2014.0,Lock In,John Scalzi,793,1630,8108,16141,8541
2013.0,Longbourn,Jo Baker,1163,3408,11297,15145,6993
2014.0,As You Wish: Inconceivable Tales from the Making of The Princess Bride,"Cary Elwes, Joe Layden, Various, Rob Reiner",811,1143,5803,13229,13393
1994.0,"Good Night, Gorilla",Peggy Rathmann,511,1544,6784,10585,19268
2013.0,"Severed Heads, Broken Hearts",Robyn Schneider,969,3198,10685,15020,10893
2009.0,"In Too Deep (The 39 Clues, Book 6)",Jude Watson,814,1801,8381,11076,15065
1980.0,Catch Me If You Can,"Frank W. Abagnale, Stan Redding",357,1326,7352,14245,12921
2001.0,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",Laurell K. Hamilton,1601,4209,10920,14041,18685
1989.0,,Gary Zukav,759,1960,6680,9437,12004
2013.0,Claim Me,J. Kenner,388,1525,7160,15887,21129
2006.0,Special Topics in Calamity Physics,Marisha Pessl,1342,3151,8523,12585,8706
2014.0,Bird Box,Josh Malerman,718,2042,7826,16827,13206
2012.0,Partials,Dan Wells,1114,2521,9279,16910,15122
2006.0,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,613,1502,6167,13510,12503
2013.0,What She Left Behind,Ellen Marie Wiseman,679,2176,7116,12361,9018
2008.0,Wicked,Sara Shepard,467,2030,9372,13291,16349
1999.0,Transfer of Power,Vince Flynn,155,519,4006,13209,15846
1965.0,Ariel,Sylvia Plath,626,1195,5497,12507,18722
2012.0,"Batman, Volume 1: The Court of Owls","Scott Snyder, Greg Capullo, Jonathan Glapion",423,827,3934,11175,16791
1992.0,Practical Demonkeeping,Christopher Moore,427,1898,10613,13910,8996
2006.0,The Last Templar,Raymond Khoury,1154,3603,11658,12251,7103
2009.0,Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,1304,2120,8243,11250,9801
1979.0,Kniha smíchu a zapomnění,"Milan Kundera, Aaron Asher",375,1322,6550,13528,10528
1995.0,The Horse Whisperer,Nicholas Evans,1032,3367,11494,15447,11503
2009.0,Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own In A Relationship,Sherry Argov,1258,2194,6076,7993,11097
2010.0,Wanted,Sara Shepard,526,1683,7138,11004,17747
2008.0,The Outlaw Demon Wails ,Kim Harrison,149,596,5323,16276,25205
1884.0,Flatland: A Romance of Many Dimensions,"Edwin A. Abbott, Banesh Hoffmann",952,2808,10004,14405,11103
2012.0,The Diviners,Libba Bray,1529,2761,9098,18094,17248
2008.0,The Spectacular Now,Tim Tharp,1264,4125,11625,12568,6663
1956.0,The Art of Loving,"Erich Fromm, Peter D. Kramer, Rainer Funk",854,1739,6528,11105,13037
2007.0,Gregor and the Code of Claw,Suzanne Collins,645,990,4751,11340,17661
1990.0,Eric,Terry Pratchett,340,3278,14872,15802,10066
1993.0,The Sandman: A Game of You,"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",117,586,4105,13376,23751
2004.0,The Other Side of the Story,Marian Keyes,644,2229,10239,12589,8739
1975.0,Beach Music,Pat Conroy,515,1511,6104,12108,15347
1994.0,"An Echo in the Darkness (Mark of the Lion, #2)",Francine Rivers,130,359,2138,7372,23452
2014.0,The Kiss of Deception,Mary E. Pearson,1223,2570,8546,18447,20338
1966.0,Tai-Pan,James Clavell,156,779,5456,13375,16453
2011.0,The Weird Sisters,Eleanor Brown,1436,5258,15573,13103,4612
2000.0,The Truth,Terry Pratchett,97,596,6395,16950,18584
2011.0,The Leftovers,Tom Perrotta,1192,4787,13437,12904,3964
1990.0,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,605,1399,5507,11395,13201
1985.0,,"Margaret Weis, Tracy Hickman",243,1206,6848,13368,14651
2010.0,,Portia de Rossi,854,2265,8272,12285,9677
2007.0,Mine Till Midnight,Lisa Kleypas,630,1649,8801,17560,17802
1974.0,All the President's Men,"Carl Bernstein, Bob Woodward",448,948,5460,13410,14430
2011.0,,Andrea Cremer,855,2169,7564,12756,19426
1860.0,The Mill on the Floss,"George Eliot, A.S. Byatt",1205,3019,10102,13708,10949
2010.0,Super Sad True Love Story,Gary Shteyngart,1893,4351,9933,11361,5794
1982.0,,Robin McKinley,770,1656,7027,13667,23657
2013.0,Lover at Last,J.R. Ward,549,1718,6860,15095,27745
2011.0,,"Michelle Rowen, Richelle Mead",734,978,3288,5688,22233
1955.0,Surprised by Joy: The Shape of My Early Life,C.S. Lewis,612,1261,6142,12367,15604
1979.0,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,642,1234,4068,9200,18366
2004.0,Trickster's Queen,Tamora Pierce,379,1359,6900,14858,23980
1969.0,,"Robert Frost, Edward Connery Lathem",387,925,5294,11433,16293
1993.0,Freak the Mighty,Rodman Philbrick,820,2063,7351,11982,13277
2013.0,This Is What Happy Looks Like,Jennifer E. Smith,1096,3778,12941,14877,10352
1997.0,What's So Amazing About Grace?,Philip Yancey,544,944,4374,9690,14103
2012.0,Kill Shot,Vince Flynn,134,525,4144,12755,15437
1990.0,The Plains of Passage,Jean M. Auel,730,3581,12152,13945,11820
2013.0,Hard Luck,Jeff Kinney,751,1381,5290,9296,20664
2002.0,Bokhandleren i Kabul,"Åsne Seierstad, Ingrid Christopherson",512,2168,9889,13752,7569
2002.0,The Merchant of Death,D.J. MacHale,1135,2545,8772,13355,14297
2009.0,The City & The City,China Miéville,688,2024,8155,15584,10877
2001.0,Fatal Voyage,Kathy Reichs,310,1057,8588,15979,13233
2009.0,Magic Strikes,Ilona Andrews,264,624,4964,18124,31302
2012.0,My Favorite Mistake,Chelsea M. Cameron,1064,2578,10251,19032,18967
1968.0,Airport,Arthur Hailey,356,1559,7920,11612,9705
2011.0,Angel,James Patterson,1259,2863,8237,12334,18801
2002.0,Kurt Vonnegut's Cat Cradle,"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",174,370,3130,9902,13957
1975.0,Ramona the Brave ,"Beverly Cleary, Alan Tiegreen",665,1536,9090,14624,18177
1993.0,Star Wars: The Last Command,Timothy Zahn,165,880,5792,13478,15308
2012.0,The Emperor's Soul,Brandon Sanderson,84,477,4536,15386,18799
2008.0,Just After Sunset,Stephen King,361,1925,10705,15299,10029
2006.0,Sold,Patricia McCormick,277,1069,6022,14839,16239
2007.0,Double Cross,James Patterson,268,1418,8438,14878,11803
1833.0,Евгений Онегин: Роман в стихах ,"Alexander Pushkin, James E. Falen",537,2010,7368,11935,16081
2013.0,These Broken Stars,"Amie Kaufman, Meagan Spooner",1514,2778,9686,17553,16485
2008.0,The Two Pearls of Wisdom,Alison Goodman,1136,2572,9453,17390,17187
1996.0,The View from Saturday,E.L. Konigsburg,1549,3151,9697,12950,10879
2012.0,Hidden,"P.C. Cast, Kristin Cast",1161,2920,8997,11649,17505
2012.0,Spell Bound,Rachel Hawkins,596,2132,9995,17324,20598
1930.0,"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)","Carolyn Keene, Russell H. Tandy, Sara Paretsky",556,2146,12581,16244,17386
1997.0,Plum Island,Nelson DeMille,319,1210,6917,14875,11188
1920.0,The Story of Doctor Dolittle,"Hugh Lofting, Michael Hague",534,2013,9528,12311,14433
